ts,value
1614917197506,24
1614917198506,24
1614917199506,24
1614917200506,24
1614917201506,24
1614917202506,24
1614917203506,24
1614917204506,24
1614917205505,24
1614917206506,24
1614917207505,24
1614917208506,24
1614917209505,24
1614917210505,24
1614917211505,24
1614917212506,24
1614917213506,24
1614917214506,24
1614917215506,24
1614917216505,24
1614917217506,24
1614917218506,24
1614917219506,24
1614917220506,24
1614917221505,24
1614917222506,24
1614917223505,24
1614917224506,24
1614917225506,24
1614917226506,24
1614917227505,24
1614917228506,24
1614917229506,24
1614917230506,24
1614917231506,24
1614917232505,24
1614917233506,24
1614917234506,24
1614917235506,24
1614917236506,24
1614917237506,24
1614917238506,24
1614917239505,24
1614917240506,24
1614917241505,24
1614917242506,24
1614917243506,24
1614917244506,24
1614917245506,24
1614917246506,24
1614917247506,24
1614917248506,24
1614917249506,24
1614917250506,24
1614917251505,24
1614917252506,24
1614917253505,24
1614917254506,24
1614917255506,24
1614917256506,24
1614917257506,24
1614917258506,24
1614917259505,24
1614917260506,24
1614917261506,24
1614917262506,24
1614917263507,24
1614917264506,24
1614917265506,24
1614917266505,24
1614917267506,24
1614917268506,24
1614917269506,24
1614917270506,24
1614917271506,24
1614917272506,24
1614917273505,24
1614917274506,24
1614917275506,24
1614917276505,24
1614917277506,24
1614917278506,24
1614917279505,24
1614917280506,24
1614917281506,24
1614917282505,24
1614917283506,24
1614917284506,24
1614917285505,24
1614917286506,24
1614917287506,24
1614917288506,24
1614917289506,24
1614917290506,24
1614917291506,24
1614917292506,24
1614917293506,24
1614917294506,24
1614917295506,24
1614917296506,24
1614917297506,24
1614917298506,24
1614917299506,24
1614917300506,24
1614917301506,24
1614917302506,24
1614917303505,24
1614917304506,24
1614917305505,24
1614917306506,24
1614917307505,24
1614917308507,24
1614917309506,24
1614917310506,24
1614917311506,24
1614917312506,24
1614917313506,24
1614917314506,24
1614917315506,24
1614917316506,24
1614917317505,24
1614917318507,24
1614917319506,24
1614917320506,24
1614917321506,24
1614917322506,24
1614917323506,24
1614917324506,24
1614917325506,24
1614917326506,24
1614917327506,24
1614917328506,24
1614917329506,24
1614917330505,24
1614917331506,24
1614917332506,24
1614917333506,24
1614917334506,24
1614917335506,24
1614917336505,24
1614917337505,24
1614917338505,24
1614917339506,24
1614917340506,24
1614917341506,24
1614917342505,24
1614917343506,24
1614917344506,24
1614917345506,24
1614917346506,24
1614917347506,24
1614917348506,24
1614917349506,24
1614917350506,24
1614917351506,24
1614917352505,24
1614917353506,24
1614917354505,24
1614917355506,24
1614917356506,24
1614917357506,24
1614917358506,24
1614917359505,24
1614917360506,24
1614917361506,24
1614917362505,24
1614917363506,24
1614917364506,24
1614917365506,24
1614917366506,24
1614917367506,24
1614917368505,24
1614917369506,24
1614917370506,24
1614917371506,24
1614917372506,24
1614917373506,24
1614917374506,24
1614917375506,24
1614917376505,24
1614917377505,24
1614917378506,24
1614917379506,24
1614917380506,24
1614917381506,24
1614917382505,24
1614917383505,24
1614917384505,24
1614917385506,24
1614917386506,24
1614917387506,24
1614917388506,24
1614917389506,24
1614917390505,24
1614917391505,24
1614917392506,24
1614917393506,24
1614917394506,24
1614917395506,24
1614917396505,24
1614917397506,24
1614917398506,24
1614917399506,24
1614917400506,24
1614917401505,24
1614917402505,24
1614917403506,24
1614917404506,24
1614917405506,24
1614917406506,24
1614917407506,24
1614917408506,24
1614917409505,24
1614917410506,24
1614917411506,24
1614917412506,24
1614917413506,24
1614917414505,24
1614917415506,24
1614917416505,24
1614917417506,24
1614917418506,24
1614917419506,24
1614917420506,24
1614917421505,24
1614917422505,24
