Time (milliseconds),files_open
21328002,24
21329001,24
21330001,24
21331001,24
21332001,24
21333001,24
21334001,24
21335001,24
21336001,24
21337001,24
21338001,24
21339001,24
21340001,24
21341002,24
21342001,24
21343001,24
21344001,24
21345001,24
21346001,24
21347001,24
21348001,24
21349001,24
21350001,24
21351001,24
21352001,24
21353001,24
21354001,24
21355001,24
21356001,24
21357001,24
21358001,24
21359001,24
21360001,24
21361001,24
21362001,24
21363001,24
21364001,24
21365002,24
21366001,24
21367002,24
21368001,24
21369001,24
21370001,24
21371001,24
21372001,24
21373001,24
21374001,24
21375001,24
21376001,24
21377001,24
21378001,24
21379001,24
21380001,24
21381002,24
21382001,24
21383001,24
21384001,24
21385001,24
21386001,24
21387001,24
21388001,24
21389002,24
21390001,24
21391001,24
21392001,24
21393001,24
21394001,24
21395002,24
21396001,24
21397001,24
21398001,24
21399001,24
21400001,24
21401002,24
21402001,24
21403001,24
21404001,24
21405002,24
21406001,24
21407001,24
21408002,24
21409001,24
21410001,24
21411002,24
21412001,24
21413001,24
21414002,24
21415001,24
21416002,24
21417001,24
21418001,24
21419001,24
21420001,24
21421002,24
21422001,24
21423001,24
21424001,24
21425002,24
21426002,24
21427001,24
21428001,24
21429001,24
21430001,24
21431001,24
21432002,24
21433003,24
21434001,24
21435001,24
21436001,24
21437001,24
21438002,24
21439001,24
21440001,24
21441001,24
21442001,24
21443001,24
21444001,24
21445001,24
21446001,24
21447001,24
21448001,24
21449001,24
21450001,24
21451001,24
21452001,24
21453002,24
21454001,24
21455001,24
21456002,24
21457001,24
21458001,24
21459001,24
21460001,24
21461001,24
21462001,24
21463001,24
21464001,24
21465002,24
21466001,24
21467001,24
21468001,24
21469001,24
21470001,24
21471001,24
21472001,24
21473001,24
21474002,24
21475002,24
21476001,24
21477001,24
21478003,24
21479001,24
21480001,24
21481001,24
21482002,24
21483001,24
21484001,24
21485003,24
21486002,24
21487001,24
21488001,24
21489002,24
21490001,24
21491001,24
21492003,24
21493001,24
21494001,24
21495002,24
21496001,24
21497001,24
21498001,24
21499001,24
21500001,24
21501001,24
21502002,24
21503001,24
21504002,24
21505001,24
21506001,24
21507001,24
21508001,24
21509001,24
21510002,24
21511001,24
21512001,24
21513001,24
21514001,24
21515001,24
21516002,24
21517001,24
21518002,24
21519001,24
21520001,24
21521001,24
21522001,24
21523001,24
21524001,24
21525001,24
21526001,24
21527001,24
21528002,24
21529002,24
21530001,24
21531001,24
21532001,24
21533001,24
21534001,24
21535001,24
21536001,24
21537001,24
21538002,24
21539001,24
21540001,24
21541001,24
21542001,24
21543001,24
21544002,24
21545001,24
21546001,24
21547001,24
21548001,24
21549001,24
21550002,24
21551001,24
21552001,24
21553003,24
21554001,24
21555001,24
21556001,24
21557002,24
21558001,24
21559001,24
21560001,24
21561001,24
21562001,24
21563002,24
21564001,24
21565001,24
21566001,24
21567002,24
21568001,24
21569001,24
21570001,24
21571001,24
21572001,24
21573002,24
21574002,24
21575001,24
21576001,24
21577002,24
21578002,24
21579001,24
21580002,24
21581001,24
21582001,24
21583001,24
